id,domain,query,llm_response,extracted_claims,claim_labels,cleaned_response
29,legal,What is intellectual property?,"Intellectual property (IP) refers to creations of the mind, such as inventions, literary works, designs, symbols, and names. The main types of IP protection are patents, copyrights, trademarks, and trade secrets. A patent in the US generally lasts for 20 years from the filing date. Copyright protection in the US lasts for the life of the creator plus 50 years.","['Intellectual property refers to creations of the mind including inventions and literary works', 'Main types of IP protection include patents, copyrights, trademarks, and trade secrets', 'A US patent generally lasts 20 years from the filing date', 'US copyright protection lasts for the life of the creator plus 50 years']","['Correct', 'Correct', 'Correct', 'Incorrect']",intellectual property ip refers creations mind inventions literary works designs symbols names main types ip protection patents copyrights trademarks trade secrets patent us generally lasts 20 years filing date copyright protection us lasts life creator plus 50 years
30,legal,What does GDPR stand for and what does it do?,"GDPR stands for General Data Protection Regulation. It is a European Union regulation that came into effect on May 25, 2018, governing the collection and processing of personal data of individuals within the EU. It gives individuals rights over their data, including the right to access, correct, and delete their personal information. GDPR applies only to companies physically located within the European Union.","['GDPR stands for General Data Protection Regulation', 'GDPR is a European Union regulation', 'GDPR came into effect on May 25, 2018', 'GDPR gives individuals rights to access, correct, and delete their data', 'GDPR applies only to companies physically located within the EU']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",gdpr stands general data protection regulation european union regulation came effect may 25 2018 governing collection processing personal data individuals within eu gives individuals rights data including right access correct delete personal information gdpr applies companies physically located within european union
31,general_knowledge,What is the largest planet in the solar system?,"Jupiter is the largest planet in the solar system, with a mass more than twice that of all the other planets combined. It is a gas giant with no solid surface. Jupiter has at least 95 known moons, including Ganymede, which is the largest moon in the solar system. Jupiter's iconic Great Red Spot is a storm that has persisted for over 400 years.","['Jupiter is the largest planet in the solar system', ""Jupiter's mass is more than twice that of all other planets combined"", 'Jupiter is a gas giant with no solid surface', 'Jupiter has at least 95 known moons', 'Ganymede is the largest moon in the solar system', 'The Great Red Spot is a storm that has persisted for over 400 years']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Correct']",jupiter largest planet solar system mass twice planets combined gas giant solid surface jupiter least 95 known moons including ganymede largest moon solar system jupiters iconic great red spot storm persisted 400 years
32,general_knowledge,Who wrote Romeo and Juliet?,"Romeo and Juliet was written by William Shakespeare, believed to have been composed between 1594 and 1596. It is a tragedy set in Verona, Italy. The play was based on an earlier poem by Arthur Brooke titled The Tragicall Historye of Romeus and Juliet, published in 1562. Shakespeare wrote the play in French before it was translated into English for the London stage.","['Romeo and Juliet was written by William Shakespeare', 'It was composed between 1594 and 1596', 'The play is set in Verona, Italy', 'The play was based on a poem by Arthur Brooke published in 1562', ""Arthur Brooke's poem was titled The Tragicall Historye of Romeus and Juliet"", 'Shakespeare originally wrote the play in French']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",romeo juliet written william shakespeare believed composed 1594 1596 tragedy set verona italy play based earlier poem arthur brooke titled tragicall historye romeus juliet published 1562 shakespeare wrote play french translated english london stage
33,general_knowledge,What is the capital of Australia?,"The capital of Australia is Canberra, not Sydney as many people assume. Canberra became the capital in 1913 as a compromise between Sydney and Melbourne. The city was designed by American architects Walter Burley Griffin and Marion Mahony Griffin, who won an international competition. Canberra is located in the state of Victoria.","['The capital of Australia is Canberra', 'Canberra became the capital in 1913', 'Canberra was chosen as a compromise between Sydney and Melbourne', 'Canberra was designed by Walter Burley Griffin and Marion Mahony Griffin', 'The Griffins won an international design competition', 'Canberra is located in the state of Victoria']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",capital australia canberra sydney many people assume canberra became capital 1913 compromise sydney melbourne city designed american architects walter burley griffin marion mahony griffin international competition canberra located state victoria
34,general_knowledge,How many bones are in the adult human body?,"The adult human body has 206 bones. Babies are born with approximately 270 to 300 bones, which fuse together over time. The femur, or thigh bone, is the longest and strongest bone in the human body. The smallest bones are the three ossicles in the ear: the malleus, incus, and stapes. The hyoid bone in the throat is the only bone in the body not connected to any other bone.","['The adult human body has 206 bones', 'Babies are born with approximately 270 to 300 bones', 'The femur is the longest and strongest bone in the body', 'The three ossicles are the malleus, incus, and stapes', 'The hyoid bone is not connected to any other bone']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct']",adult human body 206 bones babies born approximately 270 300 bones fuse together time femur thigh bone longest strongest bone human body smallest bones three ossicles ear malleus incus stapes hyoid bone throat bone body connected bone
35,general_knowledge,What is the Great Wall of China?,"The Great Wall of China is a series of fortifications built along China's northern borders to protect against invasions. Construction began during the Qin Dynasty around 221 BC. The wall stretches over 21,000 kilometers when all sections are included. Contrary to popular belief, the Great Wall is clearly visible from space with the naked eye.","[""The Great Wall is a series of fortifications along China's northern borders"", 'Construction began during the Qin Dynasty around 221 BC', 'The wall stretches over 21,000 kilometers', 'The Great Wall is clearly visible from space with the naked eye']","['Correct', 'Correct', 'Correct', 'Incorrect']",great wall china series fortifications built along chinas northern borders protect invasions construction began qin dynasty around 221 bc wall stretches 21000 kilometers sections included contrary popular belief great wall clearly visible space naked eye
36,science,What is the theory of general relativity?,"General relativity is Albert Einstein's theory of gravitation, published in 1915, which describes gravity as a curvature of spacetime caused by mass and energy. It predicts phenomena such as gravitational waves, black holes, and the bending of light around massive objects. Einstein developed the theory while working as a patent clerk in Zurich.","[""General relativity is Einstein's theory of gravitation"", 'It was published in 1915', 'General relativity describes gravity as a curvature of spacetime', 'It predicts gravitational waves, black holes, and bending of light', 'Einstein developed general relativity while working as a patent clerk in Zurich']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",general relativity albert einsteins theory gravitation published 1915 describes gravity curvature spacetime caused mass energy predicts phenomena gravitational waves black holes bending light around massive objects einstein developed theory working patent clerk zurich
37,science,What is the process of photosynthesis?,"Photosynthesis is the process by which plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored as glucose. It occurs in the chloroplasts, using chlorophyll to absorb light. The overall equation is: 6CO2 + 6H2O + light energy → C6H12O6 + 6O2. Photosynthesis takes place in two stages: the light-dependent reactions and the Calvin cycle. The Calvin cycle occurs in the thylakoid membranes.","['Photosynthesis converts light energy into chemical energy stored as glucose', 'It occurs in the chloroplasts using chlorophyll', 'The equation for photosynthesis is 6CO2 + 6H2O + light → C6H12O6 + 6O2', 'Photosynthesis has two stages: light-dependent reactions and the Calvin cycle', 'The Calvin cycle occurs in the thylakoid membranes']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",photosynthesis process plants algae bacteria convert light energy usually sun chemical energy stored glucose occurs chloroplasts using chlorophyll absorb light overall equation 6co2 6h2o light energy c6h12o6 6o2 photosynthesis takes place two stages lightdependent reactions calvin cycle calvin cycle occurs thylakoid membranes
38,healthcare,What is hypertension?,"Hypertension, or high blood pressure, is a condition in which the force of blood against artery walls is consistently too high. It is defined as a sustained blood pressure reading of 130/80 mmHg or higher, according to recent guidelines. Hypertension is a major risk factor for heart disease, stroke, and kidney failure. The condition has no symptoms in most people, which is why it is often called the 'silent killer.' Hypertension affects only people over 40.","['Hypertension is defined as blood pressure of 130/80 mmHg or higher', 'Hypertension is a major risk factor for heart disease, stroke, and kidney failure', 'Hypertension often has no symptoms', 'Hypertension is called the silent killer', 'Hypertension affects only people over 40']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",hypertension high blood pressure condition force blood artery walls consistently high defined sustained blood pressure reading 13080 mmhg higher according recent guidelines hypertension major risk factor heart disease stroke kidney failure condition symptoms people often called silent killer hypertension affects people 40
